attack_id,name,aliases,platforms,description,created,modified,stix_id,url
S0692,SILENTTRINITY,SILENTTRINITY,Windows,"[SILENTTRINITY](https://attack.mitre.org/software/S0692) is an open source remote administration and post-exploitation framework primarily written in Python that includes stagers written in Powershell, C, and Boo. [SILENTTRINITY](https://attack.mitre.org/software/S0692) was used in a 2019 campaign against Croatian government agencies by unidentified cyber actors.(Citation: GitHub SILENTTRINITY March 2022)(Citation: Security Affairs SILENTTRINITY July 2019)",2022-03-23T19:34:30.486Z,2025-04-30T13:26:45.728Z,tool--1244e058-fa10-48cb-b484-0bcf671107ae,https://attack.mitre.org/software/S0692
S0194,PowerSploit,PowerSploit,Windows,"[PowerSploit](https://attack.mitre.org/software/S0194) is an open source, offensive security framework comprised of [PowerShell](https://attack.mitre.org/techniques/T1059/001) modules and scripts that perform a wide range of tasks related to penetration testing such as code execution, persistence, bypassing anti-virus, recon, and exfiltration. (Citation: GitHub PowerSploit May 2012) (Citation: PowerShellMagazine PowerSploit July 2014) (Citation: PowerSploit Documentation)",2018-04-18T17:59:24.739Z,2025-04-16T20:38:50.246Z,tool--13cd9151-83b7-410d-9f98-25d0f0d1d80d,https://attack.mitre.org/software/S0194
S1091,Pacu,Pacu,IaaS,Pacu is an open-source AWS exploitation framework. The tool is written in Python and publicly available on GitHub.(Citation: GitHub Pacu),2023-09-28T13:21:49.652Z,2023-10-19T12:18:43.123Z,tool--1b3b8f96-43b1-4460-8e02-1f53d7802fb9,https://attack.mitre.org/software/S1091
S0005,Windows Credential Editor,Windows Credential Editor | WCE,Windows,[Windows Credential Editor](https://attack.mitre.org/software/S0005) is a password dumping tool. (Citation: Amplia WCE),2017-05-31T21:32:12.684Z,2024-09-12T15:17:22.004Z,tool--242f3da3-4425-4d11-8f5c-b842886da966,https://attack.mitre.org/software/S0005
S0357,Impacket,Impacket,Linux | macOS | Windows,"[Impacket](https://attack.mitre.org/software/S0357) is an open source collection of modules written in Python for programmatically constructing and manipulating network protocols. [Impacket](https://attack.mitre.org/software/S0357) contains several tools for remote service execution, Kerberos manipulation, Windows credential dumping, packet sniffing, and relay attacks.(Citation: Impacket Tools)",2019-01-31T01:39:56.283Z,2025-04-04T17:16:12.597Z,tool--26c87906-d750-42c5-946c-d4162c73fc7b,https://attack.mitre.org/software/S0357
S0100,ipconfig,ipconfig,,"[ipconfig](https://attack.mitre.org/software/S0100) is a Windows utility that can be used to find information about a system's TCP/IP, DNS, DHCP, and adapter configuration. (Citation: TechNet Ipconfig)",2017-05-31T21:33:02.863Z,2025-04-16T20:38:50.417Z,tool--294e2560-bd48-44b2-9da2-833b5588ad11,https://attack.mitre.org/software/S0100
S0677,AADInternals,AADInternals,Windows | Office Suite | Identity Provider,"[AADInternals](https://attack.mitre.org/software/S0677) is a PowerShell-based framework for administering, enumerating, and exploiting Azure Active Directory. The tool is publicly available on GitHub.(Citation: AADInternals Github)(Citation: AADInternals Documentation)",2022-02-01T15:08:45.007Z,2025-04-16T20:38:50.579Z,tool--2c5281dd-b5fd-4531-8aea-c1bf8a0f8756,https://attack.mitre.org/software/S0677
S0057,Tasklist,Tasklist,,The [Tasklist](https://attack.mitre.org/software/S0057) utility displays a list of applications and services with their Process IDs (PID) for all tasks running on either a local or a remote computer. It is packaged with Windows operating systems and can be executed from the command-line interface. (Citation: Microsoft Tasklist),2017-05-31T21:32:39.233Z,2024-02-12T19:14:37.984Z,tool--2e45723a-31da-4a7e-aaa6-e01998a6788f,https://attack.mitre.org/software/S0057
S0508,ngrok,ngrok,Windows,[ngrok](https://attack.mitre.org/software/S0508) is a legitimate reverse proxy tool that can create a secure tunnel to servers located behind firewalls or on local machines that do not have a public IP. [ngrok](https://attack.mitre.org/software/S0508) has been leveraged by threat actors in several campaigns including use for lateral movement and data exfiltration.(Citation: Zdnet Ngrok September 2018)(Citation: FireEye Maze May 2020)(Citation: Cyware Ngrok May 2019)(Citation: MalwareBytes LazyScripter Feb 2021),2023-09-14T18:56:34.771Z,2025-10-16T19:37:56.911Z,tool--2f7f03bb-f367-4a5a-ad9b-310a12a48906,https://attack.mitre.org/software/S0508
S0121,Lslsass,Lslsass,Windows,[Lslsass](https://attack.mitre.org/software/S0121) is a publicly-available tool that can dump active logon session password hashes from the lsass process. (Citation: Mandiant APT1),2017-05-31T21:33:10.962Z,2025-04-25T14:45:15.980Z,tool--2fab555f-7664-4623-b4e0-1675ae38190b,https://attack.mitre.org/software/S0121
S0099,Arp,Arp | arp.exe,Linux | Windows | macOS,[Arp](https://attack.mitre.org/software/S0099) displays and modifies information about a system's Address Resolution Protocol (ARP) cache. (Citation: TechNet Arp),2017-05-31T21:33:02.428Z,2025-04-16T20:38:50.933Z,tool--30489451-5886-4c46-90c9-0dff9adc5252,https://attack.mitre.org/software/S0099
S0227,spwebmember,spwebmember,Windows,[spwebmember](https://attack.mitre.org/software/S0227) is a Microsoft SharePoint enumeration and data dumping tool written in .NET. (Citation: NCC Group APT15 Alive and Strong),2018-04-18T17:59:24.739Z,2025-04-25T14:45:16.528Z,tool--33b9e38f-103c-412d-bdcf-904a91fff1e4,https://attack.mitre.org/software/S0227
S0363,Empire,Empire | EmPyre | PowerShell Empire,Linux | macOS | Windows,"[Empire](https://attack.mitre.org/software/S0363) is an open-source, cross-platform remote administration and post-exploitation framework that is publicly available on GitHub. While the tool itself is primarily written in Python, the post-exploitation agents are written in pure [PowerShell](https://attack.mitre.org/techniques/T1059/001) for Windows and Python for Linux/macOS. [Empire](https://attack.mitre.org/software/S0363) was one of five tools singled out by a joint report on public hacking tools being widely used by adversaries.(Citation: NCSC Joint Report Public Tools)(Citation: Github PowerShell Empire)(Citation: GitHub ATTACK Empire)",2019-03-11T14:13:40.648Z,2025-10-24T03:33:19.777Z,tool--3433a9e8-1c47-4320-b9bf-ed449061d1c3,https://attack.mitre.org/software/S0363
S0101,ifconfig,,,[ifconfig](https://attack.mitre.org/software/S0101) is a Unix-based utility used to gather information about and interact with the TCP/IP settings on a system. (Citation: Wikipedia Ifconfig),2017-05-31T21:33:03.377Z,2025-04-25T14:45:17.053Z,tool--362dc67f-4e85-4562-9dac-1b6b7f3ec4b5,https://attack.mitre.org/software/S0101
S1144,FRP,FRP,Linux | macOS | Windows,"[FRP](https://attack.mitre.org/software/S1144), which stands for Fast Reverse Proxy, is an openly available tool that is capable of exposing a server located behind a firewall or Network Address Translation (NAT) to the Internet. [FRP](https://attack.mitre.org/software/S1144) can support multiple protocols including TCP, UDP, and HTTP(S) and has been abused by threat actors to proxy command and control communications.(Citation: FRP GitHub)(Citation: Joint Cybersecurity Advisory Volt Typhoon June 2023)(Citation: RedCanary Mockingbird May 2020)(Citation: DFIR Phosphorus November 2021)",2024-07-10T18:46:33.555Z,2024-07-30T18:17:09.725Z,tool--36dd807e-b5bc-4c3e-91ed-80682360148c,https://attack.mitre.org/software/S1144
S0105,dsquery,dsquery | dsquery.exe,Windows,[dsquery](https://attack.mitre.org/software/S0105) is a command-line utility that can be used to query Active Directory for information from a system within a domain. (Citation: TechNet Dsquery) It is typically installed only on Windows Server versions but can be installed on non-server variants through the Microsoft-provided Remote Server Administration Tools bundle.,2017-05-31T21:33:04.937Z,2025-04-16T20:38:51.407Z,tool--38952eac-cb1b-4a71-bad2-ee8223a1c8fe,https://attack.mitre.org/software/S0105
S1050,PcShare,PcShare,Windows,"[PcShare](https://attack.mitre.org/software/S1050) is an open source remote access tool that has been modified and used by Chinese threat actors, most notably during the FunnyDream campaign since late 2018.(Citation: Bitdefender FunnyDream Campaign November 2020)(Citation: GitHub PcShare 2014)",2022-10-13T14:07:52.541Z,2024-04-11T00:28:17.175Z,tool--3a53b207-aba2-4a2b-9cdb-273d633669e7,https://attack.mitre.org/software/S1050
S0364,RawDisk,RawDisk,Windows,"[RawDisk](https://attack.mitre.org/software/S0364) is a legitimate commercial driver from the EldoS Corporation that is used for interacting with files, disks, and partitions. The driver allows for direct modification of data on a local computer's hard drive. In some cases, the tool can enact these raw disk modifications from user-mode processes, circumventing Windows operating system security features.(Citation: EldoS RawDisk ITpro)(Citation: Novetta Blockbuster Destructive Malware)",2019-03-25T12:30:40.919Z,2024-11-17T19:51:16.652Z,tool--3ffbdc1f-d2bf-41ab-91a2-c7b857e98079,https://attack.mitre.org/software/S0364
S0104,netstat,netstat,,"[netstat](https://attack.mitre.org/software/S0104) is an operating system utility that displays active TCP connections, listening ports, and network statistics. (Citation: TechNet Netstat)",2017-05-31T21:33:04.545Z,2024-11-27T21:54:49.561Z,tool--4664b683-f578-434f-919b-1c1aad2a1111,https://attack.mitre.org/software/S0104
S0378,PoshC2,PoshC2,Windows | Linux | macOS,"[PoshC2](https://attack.mitre.org/software/S0378) is an open source remote administration and post-exploitation framework that is publicly available on GitHub. The server-side components of the tool are primarily written in Python, while the implants are written in [PowerShell](https://attack.mitre.org/techniques/T1059/001). Although [PoshC2](https://attack.mitre.org/software/S0378) is primarily focused on Windows implantation, it does contain a basic Python dropper for Linux/macOS.(Citation: GitHub PoshC2)",2019-04-23T12:31:58.125Z,2025-04-16T20:38:51.558Z,tool--4b57c098-f043-4da2-83ef-7588a6d426bc,https://attack.mitre.org/software/S0378
S0120,Fgdump,Fgdump,Windows,[Fgdump](https://attack.mitre.org/software/S0120) is a Windows password hash dumper. (Citation: Mandiant APT1),2017-05-31T21:33:10.569Z,2025-04-25T14:45:18.484Z,tool--4f45dfeb-fe51-4df0-8db3-edf7dd0513fe,https://attack.mitre.org/software/S0120
S0123,xCmd,,,[xCmd](https://attack.mitre.org/software/S0123) is an open source tool that is similar to [PsExec](https://attack.mitre.org/software/S0029) and allows the user to execute applications on remote systems. (Citation: xCmd),2017-05-31T21:33:11.941Z,2025-04-25T14:45:18.852Z,tool--4fa49fc0-9162-4bdb-a37e-7aa3dcb6d38b,https://attack.mitre.org/software/S0123
S0527,CSPY Downloader,CSPY Downloader,Windows,[CSPY Downloader](https://attack.mitre.org/software/S0527) is a tool designed to evade analysis and download additional payloads used by [Kimsuky](https://attack.mitre.org/groups/G0094).(Citation: Cybereason Kimsuky November 2020),2020-11-09T14:30:35.202Z,2025-04-16T20:38:52.033Z,tool--5256c0f8-9108-4c92-8b09-482dfacdcd94,https://attack.mitre.org/software/S0527
S1040,Rclone,Rclone,Linux | Windows | macOS,"[Rclone](https://attack.mitre.org/software/S1040) is a command line program for syncing files with cloud storage services such as Dropbox, Google Drive, Amazon S3, and MEGA. [Rclone](https://attack.mitre.org/software/S1040) has been used in a number of ransomware campaigns, including those associated with the [Conti](https://attack.mitre.org/software/S0575) and DarkSide Ransomware-as-a-Service operations.(Citation: Rclone)(Citation: Rclone Wars)(Citation: Detecting Rclone)(Citation: DarkSide Ransomware Gang)(Citation: DFIR Conti Bazar Nov 2021)",2022-08-30T13:02:36.422Z,2025-10-14T18:39:05.993Z,tool--59096109-a1dd-463b-87e7-a8d110fe3a79,https://attack.mitre.org/software/S1040
S0179,MimiPenguin,MimiPenguin,Linux,"[MimiPenguin](https://attack.mitre.org/software/S0179) is a credential dumper, similar to [Mimikatz](https://attack.mitre.org/software/S0002), designed specifically for Linux platforms. (Citation: MimiPenguin GitHub May 2017)",2018-01-16T16:13:52.465Z,2025-04-25T14:45:19.566Z,tool--5a33468d-844d-4b1f-98c9-0e786c556b27,https://attack.mitre.org/software/S0179
S0108,netsh,netsh | netsh.exe,Windows,[netsh](https://attack.mitre.org/software/S0108) is a scripting utility used to interact with networking components on local or remote systems. (Citation: TechNet Netsh),2017-05-31T21:33:06.083Z,2025-02-25T17:54:17.038Z,tool--5a63f900-5e7e-4928-a746-dd4558e1df71,https://attack.mitre.org/software/S0108
S0465,CARROTBALL,CARROTBALL,Windows,[CARROTBALL](https://attack.mitre.org/software/S0465) is an FTP downloader utility that has been in use since at least 2019. [CARROTBALL](https://attack.mitre.org/software/S0465) has been used as a downloader to install [SYSCON](https://attack.mitre.org/software/S0464).(Citation: Unit 42 CARROTBAT January 2020),2020-06-02T19:10:29.513Z,2025-04-25T14:45:20.112Z,tool--5fc81b43-62b5-41b1-9113-c79ae5f030c4,https://attack.mitre.org/software/S0465
S0190,BITSAdmin,BITSAdmin,Windows,[BITSAdmin](https://attack.mitre.org/software/S0190) is a command line tool used to create and manage [BITS Jobs](https://attack.mitre.org/techniques/T1197). (Citation: Microsoft BITSAdmin),2018-04-18T17:59:24.739Z,2025-04-16T20:38:52.586Z,tool--64764dc6-a032-495f-8250-1e4c06bdc163,https://attack.mitre.org/software/S0190
S0175,meek,meek,Linux | Windows | macOS,[meek](https://attack.mitre.org/software/S0175) is an open-source Tor plugin that tunnels Tor traffic through HTTPS connections.,2018-01-16T16:13:52.465Z,2025-04-25T14:45:20.648Z,tool--65370d0b-3bd4-4653-8cf9-daf56f6be830,https://attack.mitre.org/software/S0175
S1087,AsyncRAT,AsyncRAT,Windows,[AsyncRAT](https://attack.mitre.org/software/S1087) is an open-source remote access tool originally available through the NYANxCAT Github repository that has been used in malicious campaigns.(Citation: Morphisec Snip3 May 2021)(Citation: Cisco Operation Layover September 2021)(Citation: Telefonica Snip3 December 2021),2023-09-20T17:32:59.932Z,2023-10-10T17:19:12.868Z,tool--6a5947f3-1a36-4653-8734-526df3e1d28d,https://attack.mitre.org/software/S1087
S0684,ROADTools,ROADTools,Identity Provider,[ROADTools](https://attack.mitre.org/software/S0684) is a framework for enumerating Azure Active Directory environments. The tool is written in Python and publicly available on GitHub.(Citation: ROADtools Github),2022-02-18T13:29:23.577Z,2024-09-16T17:02:37.377Z,tool--6dbdc657-d8e0-4f2f-909b-7251b3e72c6d,https://attack.mitre.org/software/S0684
S1063,Brute Ratel C4,Brute Ratel C4 | BRc4,Windows,"[Brute Ratel C4](https://attack.mitre.org/software/S1063) is a commercial red-teaming and adversarial attack simulation tool that first appeared in December 2020. [Brute Ratel C4](https://attack.mitre.org/software/S1063) was specifically designed to avoid detection by endpoint detection and response (EDR) and antivirus (AV) capabilities, and deploys agents called badgers to enable arbitrary command execution for lateral movement, privilege escalation, and persistence. In September 2022, a cracked version of [Brute Ratel C4](https://attack.mitre.org/software/S1063) was leaked in the cybercriminal underground, leading to its use by threat actors.(Citation: Dark Vortex Brute Ratel C4)(Citation: Palo Alto Brute Ratel July 2022)(Citation: MDSec Brute Ratel August 2022)(Citation: SANS Brute Ratel October 2022)(Citation: Trend Micro Black Basta October 2022)",2023-02-07T20:26:58.792Z,2024-09-19T15:46:58.008Z,tool--75d8b521-6b6a-42ff-8af3-d97e20ce12a5,https://attack.mitre.org/software/S1063
S0683,Peirates,Peirates,Containers,[Peirates](https://attack.mitre.org/software/S0683) is a post-exploitation Kubernetes exploitation framework with a focus on gathering service account tokens for lateral movement and privilege escalation. The tool is written in GoLang and publicly available on GitHub.(Citation: Peirates GitHub),2022-02-08T16:11:38.528Z,2025-04-16T20:38:52.924Z,tool--79dd477a-8226-4b3d-ad15-28623675f221,https://attack.mitre.org/software/S0683
S0332,Remcos,Remcos,Windows,[Remcos](https://attack.mitre.org/software/S0332) is a closed-source tool that is marketed as a remote control and surveillance software by a company called Breaking Security. [Remcos](https://attack.mitre.org/software/S0332) has been observed being used in malware campaigns.(Citation: Riskiq Remcos Jan 2018)(Citation: Talos Remcos Aug 2018),2019-01-29T18:55:20.245Z,2025-04-16T20:38:53.082Z,tool--7cd0bc75-055b-4098-a00e-83dc8beaff14,https://attack.mitre.org/software/S0332
S0096,Systeminfo,Systeminfo,,[Systeminfo](https://attack.mitre.org/software/S0096) is a Windows utility that can be used to gather detailed information about a computer. (Citation: TechNet Systeminfo),2017-05-31T21:33:00.969Z,2025-04-16T20:38:53.231Z,tool--7fcbc4e8-1989-441f-9ac5-e7b6ff5806f1,https://attack.mitre.org/software/S0096
S0594,Out1,Out1,Windows,[Out1](https://attack.mitre.org/software/S0594) is a remote access tool written in python and used by [MuddyWater](https://attack.mitre.org/groups/G0069) since at least 2021.(Citation: Trend Micro Muddy Water March 2021),2021-03-19T13:11:50.666Z,2025-04-25T14:45:22.072Z,tool--80c815bb-b24a-4b9c-9d73-ff4c075a278d,https://attack.mitre.org/software/S0594
S0591,ConnectWise,ConnectWise | ScreenConnect,Windows,[ConnectWise](https://attack.mitre.org/software/S0591) is a legitimate remote administration tool that has been used since at least 2016 by threat actors including [MuddyWater](https://attack.mitre.org/groups/G0069) and [GOLD SOUTHFIELD](https://attack.mitre.org/groups/G0115) to connect to and conduct lateral movement in target environments.(Citation: Anomali Static Kitten February 2021)(Citation: Trend Micro Muddy Water March 2021),2021-03-18T13:39:27.676Z,2025-10-13T20:02:57.828Z,tool--842976c7-f9c8-41b2-8371-41dc64fbe261,https://attack.mitre.org/software/S0591
S1176,attrib,attrib | attrib.exe,Windows,"[attrib](https://attack.mitre.org/software/S1176) is a Windows utility used to display, set or remove attributes assigned to files or directories.(Citation: Microsoft attrib 2023)",2024-12-04T15:47:07.382Z,2025-01-02T21:29:42.017Z,tool--8c6e9947-f7b1-4bd3-9d5d-cc7d39934989,https://attack.mitre.org/software/S1176
S0434,Imminent Monitor,Imminent Monitor,Windows,"[Imminent Monitor](https://attack.mitre.org/software/S0434) was a commodity remote access tool (RAT) offered for sale from 2012 until 2019, when an operation was conducted to take down the Imminent Monitor infrastructure. Various cracked versions and variations of this RAT are still in circulation.(Citation: Imminent Unit42 Dec2019)",2020-05-05T18:45:36.358Z,2023-10-03T19:35:03.646Z,tool--8f8cd191-902c-4e83-bf20-b57c8c4640e9,https://attack.mitre.org/software/S0434
S0358,Ruler,Ruler,Windows | Office Suite,"[Ruler](https://attack.mitre.org/software/S0358) is a tool to abuse Microsoft Exchange services. It is publicly available on GitHub and the tool is executed via the command line. The creators of [Ruler](https://attack.mitre.org/software/S0358) have also released a defensive tool, NotRuler, to detect its usage.(Citation: SensePost Ruler GitHub)(Citation: SensePost NotRuler)",2019-02-04T18:27:00.501Z,2025-04-25T14:45:22.953Z,tool--90ac9266-68ce-46f2-b24f-5eb3b2a8ea38,https://attack.mitre.org/software/S0358
S0193,Forfiles,,,"[Forfiles](https://attack.mitre.org/software/S0193) is a Windows utility commonly used in batch jobs to execute commands on one or more selected files or directories (ex: list all directories in a drive, read the first line of all files created yesterday, etc.). Forfiles can be executed from either the command line, Run window, or batch files/scripts. (Citation: Microsoft Forfiles Aug 2016)",2018-04-18T17:59:24.739Z,2025-04-25T14:45:23.318Z,tool--90ec2b22-7061-4469-b539-0989ec4f96c2,https://attack.mitre.org/software/S0193
S0191,Winexe,Winexe,,"[Winexe](https://attack.mitre.org/software/S0191) is a lightweight, open source tool similar to [PsExec](https://attack.mitre.org/software/S0029) designed to allow system administrators to execute commands on remote servers. (Citation: Winexe Github Sept 2013) [Winexe](https://attack.mitre.org/software/S0191) is unique in that it is a GNU/Linux based client. (Citation: Überwachung APT28 Forfiles June 2015)",2018-04-18T17:59:24.739Z,2024-09-04T21:09:10.255Z,tool--96fd6cc4-a693-4118-83ec-619e5352d07d,https://attack.mitre.org/software/S0191
S0500,MCMD,MCMD,Windows,[MCMD](https://attack.mitre.org/software/S0500) is a remote access tool that provides remote command shell capability used by [Dragonfly 2.0](https://attack.mitre.org/groups/G0074).(Citation: Secureworks MCMD July 2019),2020-08-13T17:15:25.702Z,2025-04-16T20:38:54.178Z,tool--975737f1-b10d-476f-8bda-3ec26ea57172,https://attack.mitre.org/software/S0500
S0359,Nltest,Nltest,Windows,[Nltest](https://attack.mitre.org/software/S0359) is a Windows command-line utility used to list domain controllers and enumerate domain trusts.(Citation: Nltest Manual),2019-02-14T17:08:55.176Z,2024-09-25T20:27:04.356Z,tool--981acc4c-2ede-4b56-be6e-fa1a75f37acf,https://attack.mitre.org/software/S0359
S0413,MailSniper,MailSniper,Windows | Office Suite,"MailSniper is a penetration testing tool for searching through email in a Microsoft Exchange environment for specific terms (passwords, insider intel, network architecture information, etc.). It can be used by a non-administrative user to search their own email, or by an Exchange administrator to search the mailboxes of every user in a domain.(Citation: GitHub MailSniper)",2019-10-05T02:34:01.189Z,2024-10-14T22:11:30.271Z,tool--999c4e6e-b8dc-4b4f-8d6e-1b829f29997e,https://attack.mitre.org/software/S0413
S0225,sqlmap,,,[sqlmap](https://attack.mitre.org/software/S0225) is an open source penetration testing tool that can be used to automate the process of detecting and exploiting SQL injection flaws. (Citation: sqlmap Introduction),2018-04-18T17:59:24.739Z,2025-04-25T14:45:24.383Z,tool--9a2640c2-9f43-46fe-b13f-bde881e55555,https://attack.mitre.org/software/S0225
S0006,pwdump,pwdump,Windows,[pwdump](https://attack.mitre.org/software/S0006) is a credential dumper. (Citation: Wikipedia pwdump),2017-05-31T21:32:13.051Z,2025-04-25T14:45:24.744Z,tool--9de2308e-7bed-43a3-8e58-f194b3586700,https://attack.mitre.org/software/S0006
S0174,Responder,Responder,,"Responder is an open source tool used for LLMNR, NBT-NS and MDNS poisoning, with built-in HTTP/SMB/MSSQL/FTP/LDAP rogue authentication server supporting NTLMv1/NTLMv2/LMv2, Extended Security NTLMSSP and Basic HTTP authentication. (Citation: GitHub Responder)",2018-01-16T16:13:52.465Z,2025-04-16T20:38:54.639Z,tool--a1dd2dbd-1550-44bf-abcc-1a4c52e97719,https://attack.mitre.org/software/S0174
S0122,Pass-The-Hash Toolkit,,,"[Pass-The-Hash Toolkit](https://attack.mitre.org/software/S0122) is a toolkit that allows an adversary to ""pass"" a password hash (without knowing the original password) to log in to systems. (Citation: Mandiant APT1)",2017-05-31T21:33:11.426Z,2025-04-25T14:45:25.272Z,tool--a52edc76-328d-4596-85e7-d56ef5a9eb69,https://attack.mitre.org/software/S0122
S0695,Donut,Donut,Windows,[Donut](https://attack.mitre.org/software/S0695) is an open source framework used to generate position-independent shellcode.(Citation: Donut Github)(Citation: Introducing Donut) [Donut](https://attack.mitre.org/software/S0695) generated code has been used by multiple threat actors to inject and load malicious payloads into memory.(Citation: NCC Group WastedLocker June 2020),2022-03-25T13:35:46.781Z,2025-04-16T20:38:54.932Z,tool--a7b5df47-73bb-4d47-b701-869f185633a6,https://attack.mitre.org/software/S0695
S0002,Mimikatz,Mimikatz,Windows,"[Mimikatz](https://attack.mitre.org/software/S0002) is a credential dumper capable of obtaining plaintext Windows account logins and passwords, along with many other features that make it useful for testing the security of networks. (Citation: Deply Mimikatz) (Citation: Adsecurity Mimikatz Guide)",2017-05-31T21:32:11.544Z,2024-11-27T21:53:57.705Z,tool--afc079f3-c0ea-4096-b75d-3f05338b7f60,https://attack.mitre.org/software/S0002
S0008,gsecdump,gsecdump,Windows,[gsecdump](https://attack.mitre.org/software/S0008) is a publicly-available credential dumper used to obtain password hashes and LSA secrets from Windows operating systems. (Citation: TrueSec Gsecdump),2017-05-31T21:32:13.755Z,2024-11-17T23:49:27.288Z,tool--b07c2c47-fefb-4d7c-a69e-6a3296171f54,https://attack.mitre.org/software/S0008
